keys,en,tr
CARD_DESC_dawn_break,Light returns.,Işık geri döner.
CARD_NAME_wedding_ceremony,Wedding Ceremony,Düğün Töreni
CARD_DESC_wedding_ceremony,Union of souls.,Ruhların birleşimi.
CARD_NAME_volcano_eruption,Volcano Eruption,Volkan Patlaması
CARD_DESC_volcano_eruption,Explosive power.,Patlayıcı güç.
CARD_NAME_dark_forest,Dark Forest,Karanlık Orman
CARD_DESC_dark_forest,Full of dangers.,Tehlikelerle dolu.
CARD_NAME_ruined_shrine,Ruined Shrine,Yıkık Tapınak
CARD_DESC_ruined_shrine,Forgotten gods.,Unutulmuş tanrılar.
CARD_NAME_tavern_corner,Tavern Corner,Han Köşesi
CARD_DESC_tavern_corner,Rest and rumors.,Dinlenme ve dedikodular.
CARD_NAME_cliff_edge,Cliff Edge,Uçurum Kenarı
CARD_DESC_cliff_edge,Don't look down.,Aşağı bakma.
CARD_NAME_marketplace,Marketplace,Pazar Yeri
CARD_DESC_marketplace,Trade and barter.,Ticaret ve takas.
CARD_NAME_volcano,Volcano,Yanardağ
CARD_DESC_volcano,Active danger.,Aktif tehlike.
CARD_NAME_purification_pool,Purification Pool,Arınma Havuzu
CARD_DESC_purification_pool,Cleanses corruption.,Yozlaşmayı temizler.
CARD_NAME_time_gate,Time Gate,Zaman Kapısı
CARD_DESC_time_gate,Portal to another time.,Başka bir zamana açılan kapı.
CARD_NAME_crimson_moon,Crimson Moon,Kızıl Ay
CARD_DESC_crimson_moon,Bad omen.,Kötü alamet.
CARD_NAME_oblivion,Oblivion,Unutkanlık
CARD_DESC_oblivion,Fading memories.,Silinen anılar.
CARD_NAME_time_paradox,Time Paradox,Zaman Paradoksu
CARD_DESC_time_paradox,History rewritten.,Tarih yeniden yazıldı.
CARD_NAME_mass_hysteria,Mass Hysteria,Kitlesel Histeri
CARD_DESC_mass_hysteria,Panic spreads.,Panik yayılıyor.
CARD_NAME_wrath_of_god,Wrath of God,Tanrının Gazabı
CARD_DESC_wrath_of_god,Divine punishment.,İlahi ceza.
CARD_NAME_doomsday_clock,Doomsday Clock,Kıyamet Saati
CARD_DESC_doomsday_clock,Time is running out.,Zaman tükeniyor.
LOG_SYNERGY_FORMED,"Synergy formed: %s meets %s (%s link). (+10 DP)","Sinerji oluştu: %s ile %s birleşti (%s bağı). (+10 DP)"
MENU_CONTINUE,CONTINUE,DEVAM ET
MENU_NEW_GAME,NEW GAME,YENİ OYUN
LOG_tyrant_oppression,"The Tyrant King and Bloody Baron join forces to oppress the land! (+80 DP, +40 Chaos)","Zalim Kral ve Kanlı Baron güçlerini birleştirip diyarı eziyor! (+80 DP, +40 Kaos)"
LOG_silent_death,"The Shadow Assassin delivers the Poisoned Chalice. A silent end. (+60 DP, -10 Chaos)","Gölge Suikastçı Zehirli Kadehi sunuyor. Sessiz bir son. (+60 DP, -10 Kaos)"
LOG_repair_shield,"The Blacksmith repairs the Broken Shield! Defense restored. (+40 DP, -20 Chaos)","Demirci Kırık Kalkanı onarıyor! Savunma onarıldı. (+40 DP, -20 Kaos)"
LOG_plague_outbreak,"A Plague Rat infests the Marketplace! Chaos spreads! (+20 DP, +60 Chaos)","Vebalı Fare Pazar Yeri'ni istila ediyor! Kaos yayılıyor! (+20 DP, +60 Kaos)"
LOG_comedy_chaos,"The Jester turns a Misunderstanding into a hilarious disaster! (+50 DP, +20 Chaos)","Soytarı, bir Yanlış Anlaşılmayı komik bir felakete dönüştürüyor! (+50 DP, +20 Kaos)"
LOG_time_travel,"The Mystic Guide opens the Time Gate! Secrets of the past revealed! (+100 DP)","Gizemli Rehber Zaman Kapısı'nı açıyor! Geçmişin sırları ortaya çıktı! (+100 DP)"
